Id,questionId,isCorrect,Answer
2,1,f,На территории Москвы и Самары
3,1,t,На территории современной Украины
4,1,f,На территории Хабаровска и Владивостока
5,2,f,Петр Первый
6,2,t,Древнерусское государство было создано в результате объединения ряда восточнославянских и фино-угорских племён под властью князей династии Рюриковичей
7,2,f,Ярослав Мудрый
8,3,f,Москва
9,3,t,Киев
10,3,f,Новогород
11,4,t,988 г.
12,4,f,995 г.
13,4,f,999 г.
14,5,f,Ярослав Владимирович (Мудрый)
15,5,t,Владимир I Святославович
16,5,f,Александр Ярославич Невский
17,6,f,Полумесяц
18,6,f,Шестиконечная звезда (звезда Давида)
19,6,t,Православный Крест
20,7,t,"Софийский собор в Киеве, Софийский собор в Великом Новгороде, Успенский собор Киево-Печерского монастыря, Десятинная церковь, 3-главый пятинефный Софийский собор, церкви святой Ирины и великомученника Георгия, Спасо-Преображенский собор Чернигова"
21,7,f,"Храм Христа Спасителя, Храм Василия Блаженного"
22,7,f,"Храм Спаса на Крови, Исаакиевский собор"
23,8,t,Золотая Орда
24,8,f,Китай
25,8,f,Палестина
26,9,t,"Великим русским полководцем и защитником Русской земли. Князем новгородским (1236-1259), великим князем киевским (1249–1263), великим князем владимирски (1252–1263). С его именем связаны победы над шведами (Невская битва, 1240) и над немецкими рыцарями (Ледовое побоище, 1242)."
27,9,f,Президентом России
28,9,f,Первым секретарем ЦК КПСС
29,10,f,1 сентября 1940 года
30,10,t,8 сентября 1380 года
31,10,f,26 августа 1812 года
32,11,f,Германские войска
33,11,f,Золотая Орда
34,11,t,Русские войска под руководством Дмитрия Донского
35,12,f,Киев
36,12,t,Москва
37,12,f,Новгород
38,13,t,в середине XV века
39,13,f,16 век
40,13,f,13 век
41,14,f,1460 г.
42,14,f,1492 г.
43,14,t,1480 г.
44,15,t,Иван Грозный
45,15,f,Иван Царевич
46,15,f,Иван Иванович
47,16,f,Даниил Чернов
48,16,t,Андрей Рублев
49,16,f,Казимир Малевич
50,17,t,Кремль
51,17,f,Бастион
52,17,f,Красная площадь
53,18,f,В VIII веке
54,18,f,В XIX веке
55,18,t,В XVII веке
56,19,f,В 1945 г.
57,19,t,В октябре 1612 г.
58,19,f,В 1812 г.
59,20,t,Династия Романовых
60,20,f,Династия Рюриковичей
61,20,f,Династия Тюдоров
62,21,f,Александр I
63,21,t,Петр I
64,21,f,Николай II
65,22,f,Москва
66,22,f,Киев
67,22,t,Санкт-Петербург
68,23,t,В Москве
69,23,f,В Санкт-Петербурге
70,23,f,В Екатеринбурге
71,24,t,Ломоносова М.В.
72,24,f,Менделеева Д.И.
73,24,f,Сахарова А.Д.
74,25,f,В 1710 при Петре I
75,25,t,"8 апреля 1783 года Екатерина II подписала манифест 'О присоединении полуострова Крымского, острова Тамань и всей Кубанской стороны под державу Российскую'"
76,25,f,12 февраля 1905 г. при Николае II
77,26,f,Российский император
78,26,t,"Великий русский полководец, военный теоретик, национальный герой России"
79,26,f,Великий российский художник
80,27,t,Медный всадник памятник Петру I
81,27,f,Екатерине II
82,27,f,Невские ворота
83,28,f,Москва
84,28,t,Санкт-Петербург
85,28,f,Екатеринбург
86,29,f,В 1941 г.
87,29,t,В 1812 г.
88,29,f,В 1921 г.
89,30,t,Бородинское сражение
90,30,f,Сталинградская битва
91,30,f,Битва под Москвой
92,31,t,Россия
93,31,f,Франция
94,31,f,Германия
95,32,f,Суворов А.В.
96,32,t,Кутузов М.И.
97,32,f,Жуков Г.К.
98,33,t,"Декабристы – представители дворянства, впервые в России выступившие за ограничение самодержавия и ликвидацию крепостничества, поднявшие 14 декабря 1825 г. восстание против самодержавия и крепостничества"
99,33,f,Граждане России родившиеся в декабре месяце
100,33,f,Птицы прилетающие в Россию в декабре
101,34,f,В 1917 г.
102,34,t,В 1861 г.
103,34,f,В 1905 г.
104,35,f,Александр I
105,35,f,Николай II
106,35,t,Александр II
107,36,t,"В 19 веке, в 1880 году"
108,36,f,В 20 веке
109,36,f,В 16 веке
110,37,f,Великий русский изобретатель
111,37,f,Великий русский ученый
112,37,t,"Великий русский поэт, драматург и прозаик"
113,38,f,Ломоносов М.В.
114,38,t,Менделеев Д.И.
115,38,f,Курчатов И.В.
116,39,t,"Русский писатель и мыслитель почитаемый как один из величайших писателей мира, участник обороны Севастополя"
117,39,f,Русский композитор
118,39,f,Русский ученый
119,40,f,Русский писатель и мыслитель
120,40,t,"Русский композитор, дирижер, педагог, музыкально-общественный деятель, музыкальный журналист"
121,40,f,Русский физик-ядерщик
122,41,f,Великий русский поэт
123,41,f,Великий русский композитор и дирижер
124,41,t,"Великий русский писатель, мыслитель, философ и публицист, классик русской литературы и одним из лучших романистов мирового значения"
125,42,f,Индуизм
126,42,t,"Христианство (главным образом, православие, также католики и протестаны), а также ислам и буддизм"
127,42,f,"Иудаизм, чучхе"
128,43,f,Ислам
129,43,f,Католицизм
130,43,t,Православие
131,44,t,В 1905 году
132,44,f,В 1917 году
133,44,f,В 1991 году
134,45,f,"Началась Гражданская война в России, было свергнуто Временное правительство"
135,45,t,"Появились новые государственные органы — начало развития парламентаризма; некоторое ограничение самодержавия; введены демократические свободы, отменена цензура, разрешены профсоюзы, легальные политические партии; буржуазия получила возможность участвовать в политической жизни страны; улучшилось положение рабочих, повышена зарплата, рабочий день уменьшился до 9—10 часов; отменены выкупные платежи крестьян, расширена свобода их передвижения; ограничена власть земских начальников"
136,45,f,"К власти пришло правительство, сформированное II Всероссийским съездом Советов, абсолютное большинство делегатов которого составили большевики"
137,46,t,Ленин В.И.
138,46,f,Троцкий Л.Д.
139,46,f,Свердлов Я.М.
140,47,f,1905 г.-1907 г.
141,47,t,1914 г.-1918 г.
142,47,f,1941 г.-1945 г.
143,48,f,"Русский музыкант, общепризнанный классик классической музыки"
144,48,f,"Русский изобретатель, сконструировавший первый летательный аппарат"
